Germany 1876		
Berlin	0	13.79550579
Hamburg	0.6931471806	12.7816827
Dresden	1.098612289	12.20624763
München	1.386294361	12.18841771
Cöln a Rh	1.609437912	11.82334702
Leipzig	1.791759469	11.77465876
Magdeburg	1.945910149	11.73176376
Hannover	2.079441542	11.59508593
Stuttgart	2.197224577	11.5909415
Frankfurt a M	2.302585093	11.56361858
Bremen	2.397895273	11.54455978
Nürnberg	2.48490665	11.42812981
Barmen	2.564949357	11.37962262
Altona	2.63905733	11.34899377
Düsseldorf	2.708050201	11.3156933
Elberfeld	2.772588722	11.31080928
Aachen	2.833213344	11.29259047
Chemnitz	2.890371758	11.27150337
Braunschweig	2.944438979	11.11289556
Crefeld	2.995732274	11.06835564
-1.223752266	16.44229548	
