Germany 1906		
Berlin	0	14.53134688
Hamburg	0.6931471806	13.60644495
München	1.098612289	13.20452384
Dresden	1.386294361	13.15963604
Leipzig	1.609437912	13.13504858
Coln	1.791759469	12.97689358
Frankfurt a M	1.945910149	12.73085443
Nürnberg	2.079441542	12.60151099
Düsseldorf	2.197224577	12.45162327
Stuttgart	2.302585093	12.4349716
Hannover	2.397895273	12.43451414
Chemnitz	2.48490665	12.4189032
Charlottenburg	2.564949357	12.40514889
Magdeburg	2.63905733	12.39447153
Essen	2.708050201	12.36426799
Bremen	2.772588722	12.27512285
Duisburg	2.833213344	12.1798416
Dortmund	2.890371758	12.08983654
Halle	2.944438979	12.04732307
Altona	2.995732274	12.03532584
Kiel	3.044522438	12.0157048
-1.305074487	18.66041382	
