Zerbst	19338	9.869827351	115	4.744932128
Anklam	19218	9.863602619	116	4.753590191
Mittweida	19426	9.874367654	117	4.762173935
Blankenburg/Harz	18908	9.847340392	118	4.770684624
Grossenhain	18825	9.842941053	119	4.779123493
Sommerda	19604	9.883488906	120	4.787491743
Possneck	18725	9.837614808	121	4.795790546
Radeberg	18602	9.831024381	122	4.804021045
Auerbach/Vogtland	18308	9.815093402	123	4.812184355
Ludwigsfelde	18537	9.827524014	124	4.820281566
Oschersleben/Bode	17464	9.767896898	125	4.828313737
Thale/Harz	17356	9.761693547	126	4.836281907
Lobau	17953	9.795512511	127	4.844187086
Grimma	17114	9.747652121	128	4.852030264
Demmin	17289	9.75782574	129	4.859812404
Oelsnitz/Erzgebirge	16289	9.698245312	130	4.86753445
Bad Langensalza	16683	9.722145516	131	4.875197323
Rosslau/Elbe	16659	9.72070589	132	4.882801923
Hohenstein-Ernstthal	16479	9.709842122	133	4.890349128
Oschatz	17499	9.769899015	134	4.8978398
Zella-Mehlis	16392	9.70454869	135	4.905274778
Ribnitz-Damgarten	16785	9.728240909	136	4.912654886
Frankenberg	15887	9.673256444	137	4.919980926
Kamenz	18023	9.799403999	138	4.927253685
Calbe/Saale	16055	9.683775607	139	4.934473933
Teltow	16195	9.692457832	140	4.941642423
Wolgast	16304	9.699165755	141	4.94875989
Schkeuditz	15673	9.659694766	142	4.955827058
Burgstadt	15568	9.652972804	143	4.96284463
Genthin	15857	9.671366322	144	4.9698133
Bad Salzungen	15684	9.660396363	145	4.976733742
Bernau bei Berlin	15510	9.649240256	146	4.983606622
Bad Durrenberg	15364	9.639782389	147	4.990432587
Oelsnitz	15134	9.624699147	148	4.997212274
Lichtenstein	15093	9.621986339	149	5.003946306
-1.228	16.857			
