Germany 1960		
Berlin	0	15.00203451
Hamburg	0.6931471806	14.41955326
Munchen	1.098612289	13.89191589
Koln	1.386294361	13.57890176
Essen	1.609437912	13.49709433
Dusseldorf	1.791759469	13.45123538
Frankfurt am Main	1.945910149	13.40979542
Dortmund	2.079441542	13.36546641
Stuttgart	2.197224577	13.36075016
Leipzig	2.302585093	13.28725389
Hannover	2.397895273	13.25741861
Bremen	2.48490665	13.23050004
Duisburg	2.564949357	13.12595691
Dresden	2.63905733	13.10948683
Nurnberg	2.708050201	13.02232202
Wuppertal	2.772588722	12.94919976
Gelsenkirchen	2.833213344	12.87082035
Bochum	2.890371758	12.79939949
Mannheim	2.944438979	12.64012521
Chemnitz	2.995732274	12.56489678
Halle (Saale)	3.044522438	12.53485467
Kiel	3.091042453	12.50876648
Magdeburg	3.135494216	12.47420486
Oberhausen	3.17805383	12.45566337
Wiesbaden	3.218875825	12.451369
-1.314644501	19.63448479	
